,genre_ids,ids,popularity,release_date,release_year,title,vote_average
297,18,333033,1.283402,2016-07-16,2016,The Heyday of the Insensitive Bastards,0.0
298,18,345674,1.282169,2016-12-23,2016,See You Tomorrow,2.0
299,18,431483,1.28208,2016-12-23,2016,Sense8: A Christmas Special,8.3
300,18,314029,1.280683,2016-01-14,2016,Neon Bull,6.0
301,18,412093,1.278129,2016-11-10,2016,Worldly Girl,4.3
302,18,361069,1.277758,2016-06-16,2016,Blush,6.0
303,18,407375,1.277757,2016-08-02,2016,Sniper: Ghost Shooter,5.4
304,18,288710,1.277426,2016-11-08,2016,The Frontier,6.6
305,18,356901,1.2774,2016-08-05,2016,Five Nights in Maine,5.5
306,18,408537,1.274153,2016-09-08,2016,The Distinguished Citizen,6.0
307,18,390777,1.27343,2016-10-14,2016,Ordinary World,6.8
308,18,411268,1.271862,2016-08-11,2016,Line Walker,5.6
309,18,381277,1.271246,2016-03-11,2016,The Yard,5.0
310,18,412202,1.269961,2016-09-10,2016,Handsome Devil,0.0
311,18,401629,1.269058,2016-09-09,2016,Cul-de-Sac,0.0
312,18,393985,1.268065,2016-05-19,2016,Proof of Innocence,0.0
313,18,109453,1.266818,2016-05-06,2016,Mothers and Daughters,5.0
314,18,380762,1.266554,2016-04-07,2016,Trivisa,6.9
315,18,348660,1.264607,2016-04-07,2016,Walk with Me,6.0
316,18,363579,1.263855,2016-09-07,2016,The Age of Shadows,8.0
317,18,253343,1.263556,2016-07-05,2016,Dear Eleanor,6.3
318,18,417820,1.262211,2016-09-22,2016,Miss Saigon: The 25th-Anniversary Performance,8.8
319,18,347033,1.261863,2016-07-29,2016,Equity,5.9
320,18,412520,1.254726,2016-12-07,2016,Sex Doll,8.0
321,18,381255,1.253806,2016-03-02,2016,Down by Love,6.0
322,18,377287,1.252549,2016-04-20,2016,The Son of Joseph,7.3
323,18,378779,1.251354,2016-01-03,2016,War and Peace,8.4
324,18,449390,1.251074,2016-06-28,2016,Batman v Superman: Dawn of Justice Ultimate Edition,8.0
325,18,382572,1.247803,2016-12-16,2016,The Wasted Times,7.3
326,18,360737,1.247471,2016-11-10,2016,Center of My World,7.8
327,18,371446,1.245675,2016-09-23,2016,The Free World,4.2
328,18,374452,1.242909,2016-08-03,2016,Sieranevada,7.3
329,18,403570,1.241103,2016-12-26,2016,Red Dog: True Blue,4.0
330,18,323929,1.240692,2016-03-18,2016,Krisha,5.8
331,18,367807,1.240032,2016-09-15,2016,Deserted,5.0
332,18,352498,1.23837,2016-10-18,2016,First Girl I Loved,6.8
333,18,376004,1.237243,2016-01-05,2016,Adulterers,5.2
334,18,353575,1.23684,2016-12-31,2016,LBJ,5.0
335,18,405551,1.236751,2016-08-26,2016,Arbor Demon,3.4
336,18,408508,1.236248,2016-10-07,2016,Blue Jay,7.3
337,18,382501,1.23417,2016-09-07,2016,Eternity,5.1
338,18,359344,1.232848,2016-09-17,2016,Rage,8.0
339,18,364060,1.232302,2016-06-10,2016,Middle Man,6.0
340,18,394170,1.229848,2016-05-04,2016,Phantom Detective,7.2
341,18,378502,1.229566,2016-02-27,2016,While the Women Are Sleeping,5.0
342,18,255160,1.228801,2016-02-03,2016,On the Milky Road,7.3
343,18,392882,1.228735,2016-10-08,2016,Night's Tightrope,0.0
344,18,376969,1.226651,2016-06-01,2016,Fucking Berlin,6.0
345,18,308409,1.226564,2016-01-14,2016,The Commune,6.7
346,18,353571,1.225705,2016-01-23,2016,Tallulah,6.8
347,18,408292,1.223816,2016-08-05,2016,The Last Family,7.2
348,18,413953,1.223808,2016-12-01,2016,The Earthquake,7.0
349,18,371738,1.223737,2016-07-24,2016,Looking: The Movie,7.0
350,18,382503,1.223104,2016-08-31,2016,A Kid,6.7
351,18,377275,1.222692,2016-09-14,2016,In Bed with Victoria,5.3
352,18,379441,1.221752,2016-08-26,2016,Greater,8.1
353,18,380464,1.220561,2016-01-29,2016,İftarlık Gazoz,8.0
354,18,378813,1.220518,2016-03-31,2016,Aloys,7.6
355,18,406808,1.219425,2016-09-15,2016,In the Blood,6.0
356,18,340027,1.219406,2016-09-16,2016,Brain on Fire,9.0
357,18,423878,1.219186,2016-01-31,2016,Crossfire,3.5
358,18,381935,1.218443,2016-03-14,2016,Jack Goes Home,5.1
359,18,356889,1.218389,2016-03-31,2016,The Great & The Small,6.7
360,18,358807,1.217854,2016-01-22,2016,The Fits,6.6
361,18,377186,1.217113,2016-09-01,2016,My Sweet Audrina,4.8
362,18,330982,1.216203,2016-07-22,2016,The Childhood of a Leader,5.3
363,18,403480,1.215959,2016-10-06,2016,An Unheard Woman,0.0
364,18,411837,1.215567,2016-08-19,2016,Tam Cam: The Untold,0.0
365,18,405755,1.215009,2016-07-08,2016,Never Gone,5.8
366,18,395452,1.213973,2016-06-15,2016,In the Forests of Siberia,7.1
367,18,375572,1.213346,2016-04-07,2016,Italian Race,7.5
368,18,430158,1.212498,2016-12-29,2016,To Walk Invisible,7.5
369,18,384127,1.210826,2016-02-25,2016,A Man and a Woman,7.1
370,18,358725,1.208914,2016-03-02,2016,Saint Amour,5.5
371,18,398581,1.208501,2016-05-03,2016,The Darker Side of the Mirror,4.4
372,18,140491,1.207802,2016-02-22,2016,Alienate,4.1
373,18,392344,1.206347,2016-09-09,2016,Baar Baar Dekho,5.4
374,18,384581,1.205767,2016-05-18,2016,Fanny's Journey,7.0
375,18,394260,1.205563,2016-11-10,2016,Sweet Dreams,6.9
376,18,404417,1.2046,2016-11-02,2016,Dead Man Working,6.0
377,18,387805,1.204175,2016-09-16,2016,7:19,6.7
378,18,381262,1.202059,2016-03-16,2016,In Her Name,6.4
