,title,id,release_date,popularity,genre_ids
297,No Good Deed,136835,2014-09-10,2.810109,"[80, 53]"
298,What We Do in the Shadows,246741,2014-06-19,2.738973,"[35, 27]"
299,If I Stay,249164,2014-08-21,2.720302,[18]
300,The Hunger Games: Catching Fire,101299,2013-11-15,7.785707,"[878, 53, 28, 12]"
301,Frozen,109445,2013-11-27,7.702501,"[16, 12, 10751]"
302,The Wolf of Wall Street,106646,2013-12-25,7.618477,"[80, 18, 35]"
303,Thor: The Dark World,76338,2013-10-29,7.293612,"[28, 12, 14]"
304,The Hobbit: The Desolation of Smaug,57158,2013-12-11,6.905024,"[12, 14]"
305,Iron Man 3,68721,2013-04-18,6.593916,"[28, 12, 878]"
306,The Book Thief,203833,2013-11-08,6.456884,[18]
307,12 Years a Slave,76203,2013-10-18,6.131812,"[18, 36]"
308,Gravity,49047,2013-09-27,6.096387,"[878, 53, 18]"
309,Nymphomaniac: Vol. II,249397,2013-12-25,5.749275,"[18, 9648]"
310,Now You See Me,75656,2013-05-29,5.731655,"[53, 80]"
311,Her,152601,2013-12-18,5.530821,"[10749, 878, 18]"
312,Star Trek Into Darkness,54138,2013-05-05,5.295558,"[28, 12, 878]"
313,Monsters University,62211,2013-06-20,4.981251,"[16, 10751]"
314,Man of Steel,49521,2013-06-12,4.663337,"[28, 12, 14, 878]"
315,World War Z,72190,2013-06-20,4.621383,"[28, 18, 27, 878, 53]"
316,Captain Phillips,109424,2013-10-10,4.549975,"[28, 18, 53]"
317,The English Teacher,174321,2013-05-16,4.486295,"[35, 18]"
318,Rush,96721,2013-09-02,4.282219,"[18, 28]"
319,Pacific Rim,68726,2013-07-11,4.233188,"[28, 878, 12]"
320,The Smurfs 2,77931,2013-07-30,4.193503,"[14, 10751, 35, 16]"
321,The Croods,49519,2013-03-20,4.146295,"[12, 16, 35, 10751, 14]"
322,Elysium,68724,2013-08-07,4.044867,"[878, 28, 18, 53]"
323,Ender's Game,80274,2013-10-23,4.024483,"[878, 28, 12]"
